Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.0001998002,0.45791426,6.202710535539233,6.202710539658256,327.2173913043478
2000,1.4177997,0.00019940018,0.5977955,8.164291665919366,8.164291684044246,356.5483870967742
3000,1.4164643,0.00019900019,0.7427008,7.26798900874222,7.2679890175700965,261.79411764705884
4000,1.4161988,0.0001986002,0.91073465,9.216103805436028,9.216103808085084,298.27777777777777
5000,1.4177476,0.0001982002,1.1009399,9.597960061040418,9.597960119663561,303.62068965517244
6000,1.4178807,0.0001978002,1.2906704,10.363621259177172,10.363621285043438,301.4074074074074
7000,1.4172857,0.00019740018,1.4753509,26.546895629167558,26.546895765521732,656.1
8000,1.4165566,0.00019700019,1.7168307,53.52814816236496,53.528148464486,1162.6
9000,1.4151158,0.0001966002,1.9772247,93.73823583126068,93.73823632579297,1897.0
10000,1.4147686,0.0001962002,2.2347624,None,None,None
11000,1.4144578,0.0001958002,2.444088,146.73609471917152,146.73609473986434,2892.4
12000,1.4135869,0.0001954002,2.6632524,None,None,None
13000,1.4124917,0.0001950002,2.8454387,None,None,None
14000,1.4115314,0.0001946002,3.0396295,None,None,None
15000,1.4108905,0.00019420018,3.2354367,None,None,None
16000,1.4104034,0.0001938002,3.4021,260.9435071349144,260.9435068876686,4922.0
17000,1.41018,0.0001934002,3.6027,None,None,None
18000,1.4101297,0.0001930002,3.7802768,None,None,None
19000,1.4095365,0.0001926002,3.9654107,None,None,None
20000,1.4100634,0.00019220018,4.136007,None,None,None
21000,1.4099216,0.00019180021,4.2817836,271.05812378525735,271.05812346304594,4922.0
22000,1.4089018,0.0001914002,4.4598513,None,None,None
23000,1.4071279,0.00019100019,4.5984592,None,None,None
24000,1.4053205,0.0001906002,4.700407,None,None,None
25000,1.4040891,0.0001902002,4.799155,None,None,None
