Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7916663,0.0001998002,-0.3553508,5.818858668855999,5.818858702358937,188.7826086956522
2000,1.7916677,0.00019940018,-0.37111676,5.7886931312084196,5.788693115167552,194.36
3000,1.7869054,0.00019900019,-0.16926466,5.606506277013708,5.606506308405962,183.85185185185185
4000,1.7866025,0.0001986002,-0.12683229,3.7963455955724457,3.796345582993298,135.13513513513513
5000,1.7814856,0.0001982002,0.016808594,3.919703898397652,3.9197038980798693,135.78378378378378
6000,1.7810827,0.0001978002,0.046600964,2.819995044307275,2.8199950289913844,104.56818181818181
7000,1.7869341,0.00019740018,0.23447378,5.6782610239806,5.67826104436945,183.8148148148148
8000,1.7892435,0.00019700019,0.30399805,5.5766541830130985,5.57665419105615,174.60714285714286
9000,1.7868693,0.0001966002,0.40581715,6.803228976825873,6.803228960103904,214.625
10000,1.7861253,0.0001962002,0.501043,10.027568815276027,10.027568792655075,298.875
11000,1.7786332,0.0001958002,0.6335736,7.490798270329833,7.49079821576197,222.1875
12000,1.778195,0.0001954002,0.7613889,20.189824879169464,20.18982471990272,523.9090909090909
13000,1.7668971,0.0001950002,0.87117314,24.890550655978068,24.890550694465805,614.7142857142857
14000,1.7657573,0.0001946002,1.0101529,26.812934398651123,26.812934066033147,674.8333333333334
15000,1.7490265,0.00019420018,1.1115278,21.09841376543045,21.098413846232386,537.6666666666666
16000,1.746243,0.0001938002,1.307504,47.753717402617134,47.75371748256051,1062.5
17000,1.7438961,0.0001934002,1.3735561,40.50834301114082,40.508342642337084,953.0
18000,1.7463819,0.0001930002,1.5444313,140.60976350307465,140.60976499458775,2944.0
19000,1.7383391,0.0001926002,1.606567,None,None,None
20000,1.7336607,0.00019220018,1.7186071,215.49869763851166,215.49869829788804,4436.0
21000,1.7261884,0.00019180021,1.7998682,120.16544969131549,120.16544955760764,2500.5
22000,1.7106398,0.0001914002,1.9700911,None,None,None
23000,1.7186489,0.00019100019,2.033843,None,None,None
24000,1.7121329,0.0001906002,2.1695673,None,None,None
25000,1.7211821,0.0001902002,2.2314787,None,None,None
26000,1.7077905,0.00018980021,2.4100244,242.65342193841934,242.65342277248857,4874.8
27000,1.7019321,0.00018940019,2.4339726,None,None,None
28000,1.706958,0.00018900019,2.6227007,None,None,None
29000,1.7229418,0.00018860021,2.6220255,None,None,None
30000,1.714586,0.00018820021,2.812469,None,None,None
31000,1.7029372,0.0001878002,2.7907403,249.99746336340905,249.99746335723322,4922.0
32000,1.6774863,0.0001874002,3.0108967,None,None,None
