Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7916516,0.0001998002,-0.27708972,5.069936594963074,5.0699366059045134,178.64
2000,1.7916505,0.00019940018,-0.24662602,4.185398432825293,4.185398437042887,164.46428571428572
3000,1.7880771,0.00019900019,-0.03728932,6.226567208766937,6.226567155512721,213.20833333333334
4000,1.7889873,0.0001986002,-0.058483932,6.839067894479503,6.839067949048226,226.3913043478261
5000,1.788585,0.0001982002,0.13820492,6.533843442797661,6.5338434235578235,220.0
6000,1.7881081,0.0001978002,0.18873419,6.842299380117939,6.8422994715179986,210.0952380952381
7000,1.7850686,0.00019740018,0.30569744,8.262182384729385,8.262182366585302,263.2857142857143
8000,1.7852718,0.00019700019,0.38467228,8.459824161231518,8.459824095936233,258.95
9000,1.7857342,0.0001966002,0.56350255,7.75538501494071,7.755384973684714,245.94117647058823
10000,1.7836013,0.0001962002,0.5481541,7.822826839628673,7.822826817009844,245.38095238095238
11000,1.7811694,0.0001958002,0.7940366,9.37678106687963,9.376781180601249,269.77777777777777
12000,1.7745197,0.0001954002,0.84707534,13.712130039930344,13.712130022986477,397.0833333333333
13000,1.7765677,0.0001950002,0.9755986,13.077356491770063,13.077356426064275,371.42857142857144
14000,1.7733712,0.0001946002,1.008405,13.139132710603567,13.139132650039686,364.61538461538464
15000,1.7707154,0.00019420018,1.1789746,17.223388278484343,17.223388386160877,446.6
16000,1.7658323,0.0001938002,1.2177411,13.481896232813597,13.481896300129218,348.8125
17000,1.7623515,0.0001934002,1.3042058,11.430489761488777,11.430489696062832,317.0
18000,1.7617632,0.0001930002,1.4101402,15.142547458410263,15.142547473489364,394.25
19000,1.767152,0.0001926002,1.5259138,12.504768792788187,12.504768821176125,340.4
20000,1.7647034,0.00019220018,1.6390176,13.600844645500183,13.60084470652608,364.6666666666667
21000,1.7624431,0.00019180021,1.696567,10.275195747613907,10.275195688431028,277.1666666666667
22000,1.7602546,0.0001914002,1.8036839,10.099115781924304,10.099115765428731,280.47058823529414
23000,1.7565547,0.00019100019,1.835473,11.317627362906933,11.317627370440292,309.25
24000,1.7585689,0.0001906002,1.9446566,12.392069801688194,12.392069897801937,333.64285714285717
25000,1.7518204,0.0001902002,1.9132798,12.040380505578858,12.040380513163004,325.57142857142856
26000,1.7599217,0.00018980021,2.0695536,10.844249139813815,10.84424918784922,286.94117647058823
27000,1.7530378,0.00018940019,2.099243,13.25104609131813,13.251046070141532,348.26666666666665
28000,1.7509402,0.00018900019,2.133456,17.033159760137398,17.03315976965094,428.0833333333333
29000,1.7559127,0.00018860021,2.1619432,12.709250891208649,12.709250843717003,341.6666666666667
30000,1.748144,0.00018820021,2.3490517,14.86340715289116,14.863407127894266,392.4
31000,1.7570475,0.0001878002,2.3816273,13.113958232104778,13.113958183853413,339.8125
32000,1.7401304,0.0001874002,2.5261214,17.16419032216072,17.164190113362185,456.0
33000,1.7405798,0.0001870002,2.496588,21.349344005951515,21.349344076765767,546.4615384615385
34000,1.71679,0.00018660021,2.7765522,20.206964443127315,20.20696429374084,565.3333333333334
35000,1.7118286,0.0001862002,2.716235,25.360241617475236,25.360241759260102,681.8571428571429
36000,1.7134485,0.00018580019,2.8508468,23.5444406658411,23.544440486587934,621.4
37000,1.7080613,0.00018540022,2.874839,22.52110994855563,22.521109886413644,645.0
38000,1.6933298,0.0001850002,2.9718957,45.62499059736729,45.62499051243702,1232.0
39000,1.6887983,0.0001846002,2.9974537,25.646267354488373,25.64626745364876,825.6666666666666
40000,1.6912885,0.00018420021,3.0460138,40.49383682012558,40.49383697364866,1164.6666666666667
41000,1.6872412,0.00018380019,3.083527,44.89476843774319,44.894768379605374,1276.8
42000,1.7001455,0.00018340022,3.1028593,54.48273216485977,54.482732197006406,1504.6
