Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7917094,0.00019999995,0.03679821,2.6384619364612982,2.638461936613866,140.05263157894737
2000,1.7917107,0.00019999995,0.053259395,2.510499255997794,2.510499290483397,142.47619047619048
3000,1.7917086,0.00019999995,0.054907124,2.0298993030320043,2.0298992955987485,126.26086956521739
4000,1.7903379,0.00019999995,0.116022274,2.1307073572561857,2.130707338943645,138.0
5000,1.7890887,0.00019999995,0.14922157,2.017843496054411,2.01784348541293,130.375
6000,1.789009,0.00019999995,0.15462372,2.0763096883893013,2.0763096862422437,121.68
7000,1.7889677,0.00019999995,0.16174233,1.514289166616357,1.514289188007959,119.34782608695652
8000,1.7870891,0.00019999995,0.27173486,3.617366979312566,3.617367004809176,168.5
9000,1.7869616,0.00019999995,0.27796578,4.810848472515742,4.810848468383756,192.4
10000,1.7870415,0.00019999995,0.2868775,3.730356772740682,3.730356761113095,176.4
11000,1.7801602,0.00019999992,0.39728048,4.385900989174843,4.3859009241480535,183.8125
12000,1.77941,0.0001999999,0.44606107,3.9761010548647713,3.976101039736624,168.35294117647058
13000,1.7796278,0.0001999999,0.5106513,8.73738119006157,8.737381175340136,286.0
14000,1.7796955,0.0001999999,0.52805674,4.708766143236842,4.708766096885499,195.64285714285714
15000,1.7752717,0.0001999999,0.6622716,7.571646120813158,7.571646158215369,249.22222222222223
16000,1.7736592,0.0001999999,0.7169107,9.122646832695374,9.122646815798397,284.46153846153845
17000,1.7757596,0.0001999999,0.67945176,7.885830730199814,7.8858307126436005,261.0
18000,1.7676052,0.0001999999,0.8633091,10.680231196539742,10.680231210475378,331.85714285714283
19000,1.7669288,0.0001999999,0.865396,14.568931590765715,14.568931456329608,413.25
20000,1.7692354,0.0001999999,0.8851212,12.544038785355431,12.544038739799507,387.42857142857144
21000,1.7655269,0.0001999999,1.0961818,11.410742337505022,11.410742349127,330.6666666666667
22000,1.7469552,0.0001999999,1.1885504,36.237124025821686,36.23712446734453,899.5
23000,1.7507653,0.0001999999,1.2404917,87.57896280288696,87.57896348799659,2073.0
24000,1.7572238,0.0001999999,1.2419543,None,None,None
25000,1.733346,0.0001999999,1.4405333,None,None,None
26000,1.7325411,0.0001999999,1.4512839,139.18207478523254,139.182075240076,3265.3333333333335
27000,1.733989,0.0001999999,1.4717852,None,None,None
28000,1.7228161,0.0001999999,1.6088184,None,None,None
29000,1.7168028,0.00019999988,1.7806339,None,None,None
30000,1.7215041,0.00019999986,1.7707096,None,None,None
31000,1.7133652,0.00019999986,1.7649227,206.59087442358336,206.59087419214256,4922.0
32000,1.6861094,0.00019999986,2.0148408,None,None,None
33000,1.6793112,0.00019999986,2.0020847,None,None,None
34000,1.6720852,0.00019999986,1.9974347,None,None,None
35000,1.6781152,0.00019999986,2.0982513,None,None,None
36000,1.6885444,0.00019999986,2.184272,188.379040569067,188.3790407249522,4922.0
37000,1.6938405,0.00019999986,2.2084367,None,None,None
38000,1.7098701,0.00019999986,2.2401812,None,None,None
39000,1.700739,0.00019999986,2.411999,None,None,None
40000,1.6932126,0.00019999986,2.4059923,None,None,None
41000,1.6901965,0.00019999986,2.4019086,194.297383526961,194.2973836103672,4922.0
42000,1.6892542,0.00019999986,2.522054,None,None,None
43000,1.7002805,0.00019999986,2.6021955,None,None,None
44000,1.6860977,0.00019999983,2.5919466,None,None,None
45000,1.7019602,0.00019999983,2.6249852,None,None,None
46000,1.7125652,0.00019999983,2.7847557,198.30216214060783,198.30216193977049,4922.0
47000,1.7080952,0.00019999983,2.7885845,None,None,None
48000,1.7216033,0.00019999983,2.8104193,None,None,None
49000,1.7226515,0.00019999983,2.9403675,None,None,None
50000,1.7152237,0.00019999983,2.9901583,None,None,None
51000,1.7183379,0.00019999983,2.9866693,221.535796135664,221.53579642514902,4922.0
52000,1.7094878,0.00019999983,3.0558007,None,None,None
53000,1.7200843,0.00019999975,3.2182832,None,None,None
