Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7916883,0.00019999995,-0.0010286581,5.319604867316307,5.3196048455851885,185.38297872340425
2000,1.783542,0.00019999995,0.21579553,5.645016347820109,5.645016332750426,179.6909090909091
3000,1.7607119,0.00019999995,0.40924233,4.969274483502857,4.969274492090867,158.66666666666666
4000,1.7588137,0.00019999995,0.60418326,6.587561803295257,6.587561813559278,199.48936170212767
5000,1.7422944,0.00019999995,0.80044806,9.039765883237123,9.039765865407503,248.075
6000,1.7294078,0.00019999995,1.0262251,9.208567905426026,9.20856790324498,236.9142857142857
7000,1.7145293,0.00019999995,1.2950994,22.945426838738577,22.945426736317977,514.7142857142857
8000,1.7000476,0.00019999995,1.6109809,18.99205520749092,18.992055044462404,460.25
9000,1.6689175,0.00019999995,1.8398023,94.29147976636887,94.2914795982033,1934.5
10000,1.6423483,0.00019999995,2.1037865,None,None,None
11000,1.6222029,0.00019999992,2.313912,148.44384035468102,148.44384056939634,2920.6
12000,1.5981119,0.0001999999,2.5309045,None,None,None
13000,1.588404,0.0001999999,2.7301376,None,None,None
14000,1.6035188,0.0001999999,2.9331079,None,None,None
15000,1.5522244,0.0001999999,3.1233032,None,None,None
16000,1.5229056,0.0001999999,3.3186557,261.67707462608814,261.67707424404,4922.0
17000,1.4879822,0.0001999999,3.530754,None,None,None
18000,1.4436867,0.0001999999,3.697709,None,None,None
19000,1.385185,0.0001999999,3.9242706,None,None,None
20000,1.3945342,0.0001999999,4.094701,None,None,None
21000,1.3821113,0.0001999999,4.2352686,271.51887734234333,271.51887730011805,4922.0
22000,1.412572,0.0001999999,4.396719,None,None,None
23000,1.4043032,0.0001999999,4.536823,None,None,None
24000,1.4044346,0.0001999999,4.644924,None,None,None
25000,1.3945271,0.0001999999,4.7431574,None,None,None
26000,1.3703278,0.0001999999,4.8042326,274.6636330366135,274.66363338915323,4922.0
27000,1.3376267,0.0001999999,4.895842,None,None,None
28000,1.3174777,0.0001999999,4.973301,None,None,None
29000,1.3463498,0.00019999988,5.0439014,None,None,None
30000,1.337342,0.00019999986,5.11641,None,None,None
